Date,Open,High,Low,Volume
2019-04-15,83.05,84.73,74.95,277739.69182045
2019-04-14,77.78,83.5,76.5,115334.6377891
2019-04-13,79.11,81.63,76.35,121219.37039613
2019-04-12,78.63,81.2,75.44,177208.46537304
2019-04-11,88.25,88.9,75.33,344341.83625683
2019-04-10,86.69,91.99,86.29,201370.55333413
2019-04-07,91.72,95.4,89.12,247684.54014139
2019-04-05,84.13,90.4,83.89,266661.65950027
2019-04-02,60.27,73.96,60.17,623158.56514084
2019-04-01,60.37,60.83,59.9,71055.30347172
2019-03-27,57.93,61.2,57.88,159611.31909342
2019-03-15,55.47,58.58,55.4,164023.11224736
2019-03-14,54.98,57.74,53.11,158038.76185932
2019-03-07,55.34,58.87,53.63,433087.34652458
2019-03-05,45.34,53.98,45.3,400616.59094628
2019-03-04,47.4,48.0,44.4,195387.09147241
2019-03-03,48.18,48.73,47.19,80200.09392614
2019-02-14,41.24,41.99,39.6,136363.78714147
2019-02-12,42.72,44.06,41.4,179755.80043228
2019-02-07,32.51,33.19,32.41,74119.98257308
2019-02-06,33.96,34.1,31.95,165898.90867727
2019-02-05,33.66,34.15,33.26,96430.84885781
2019-02-02,32.71,33.09,32.19,112417.04571129
2019-02-01,31.3,33.21,30.57,180954.68367259
2019-01-30,30.63,31.75,30.42,110662.28279516
2019-01-29,30.58,31.51,29.86,106252.92771259
2019-01-28,32.34,32.34,29.81,182844.47960748
2019-01-25,32.54,32.95,31.84,145084.88688931
2019-01-24,31.61,33.13,31.08,135249.3021902
2019-01-16,30.68,32.15,30.64,108360.67071201
2019-01-10,38.89,39.25,31.91,462003.93876727
2019-01-08,37.44,41.27,37.25,373585.84466483
2018-12-31,31.48,31.64,29.42,179857.91104422
2018-12-24,33.34,36.78,32.6,503967.28196782
2018-12-20,29.05,33.2,28.66,486207.11004444
2018-12-18,28.53,29.6,27.71,251412.66348278
2018-12-17,25.25,30.48,25.04,509066.24953153
2018-12-15,23.24,23.83,22.89,157988.56659972
2018-12-10,25.11,25.65,23.55,209033.11937603
2018-12-06,28.93,30.2,27.04,292135.42595048
2018-12-05,30.65,31.06,28.62,207672.87721
2018-11-21,31.85,34.14,31.06,357572.50564057
2018-11-14,48.86,49.95,40.0,531537.70719998
2018-11-13,50.2,50.43,48.31,91446.61178445
2018-11-09,52.16,52.53,51.07,74995.86078245
2018-11-06,53.14,55.45,53.12,126867.25066893
2018-11-03,50.95,51.3,50.34,42652.95886936
2018-10-26,51.81,52.38,51.16,64984.91648477
2018-10-23,51.83,52.49,51.4,65680.19659004
2018-10-21,52.88,53.11,52.2,48174.37188154
2018-10-16,53.45,54.23,52.54,109361.72980287
2018-10-15,51.86,56.77,51.01,315938.40640495
2018-10-11,57.41,57.5,50.24,357988.05885267
2018-10-09,59.04,59.4,58.02,61483.11267762
2018-10-05,58.18,59.45,57.23,83819.02975415
2018-10-01,61.29,61.8,59.22,143529.40360805
2018-09-24,61.51,61.78,57.07,175256.27953245
2018-09-20,54.06,56.56,53.37,117563.41671534
2018-09-18,51.81,55.49,50.55,171844.67717338
2018-09-15,57.59,58.73,55.55,126008.45089715
2018-09-13,51.8,55.2,51.25,241167.38667147
2018-09-12,51.59,52.08,47.19,305872.80883794
2018-09-11,53.73,54.81,50.0,203914.06300913
2018-09-08,56.23,57.28,51.77,160772.04055972
2018-08-25,57.95,58.36,57.08,61907.38118622
2018-08-24,56.96,58.36,55.55,108717.7573848
2018-08-23,55.18,57.91,54.67,117529.61965062
2018-08-22,56.63,59.21,54.01,248606.64206976
2018-08-18,61.45,62.6,55.66,170914.11768402
2018-08-16,55.81,57.68,54.0,176214.93783069
2018-08-12,60.13,61.8,57.35,161493.57962473
2018-08-11,58.67,60.32,55.13,257280.44051905
2018-08-08,68.17,68.21,61.01,419682.16920303
2018-08-07,73.15,75.5,66.6,202556.0274322
2018-08-01,78.2,79.31,75.97,141295.4974881
2018-07-30,83.7,84.7,79.76,128259.15503669
2018-07-29,83.84,85.25,83.41,44757.13857448
2018-07-26,87.13,87.87,83.2,106910.99564808
2018-07-22,84.03,84.1,81.81,72181.91241508
2018-07-21,81.85,84.69,79.77,90040.08391763
2018-07-18,89.25,94.39,85.11,286508.81706859
2018-07-12,77.39,78.35,74.5,118158.65520599
2018-07-06,82.5,84.01,80.76,103047.1280181
2018-07-04,84.34,89.0,83.51,125206.16806375
2018-07-01,79.79,81.39,77.72,99411.98193606
2018-06-25,81.33,84.49,78.8,230727.7138169
2018-06-22,96.81,96.81,80.29,393464.8634717
2018-06-20,98.34,99.0,95.51,96795.96973633
2018-06-15,100.75,101.4,95.09,154525.451751
2018-06-13,99.86,100.57,89.25,396401.59257123
2018-06-11,103.75,109.02,103.2,227453.15417997
2018-06-09,120.35,120.95,118.06,47578.88119955
2018-06-07,121.06,123.48,119.45,88217.91773202
2018-06-04,125.0,126.69,118.22,103651.92452506
2018-06-03,123.33,127.95,122.56,100380.71573463
2018-06-01,117.64,120.82,117.0,91890.48222312
2018-05-31,116.9,120.99,116.49,114617.34838573
2018-05-26,117.94,122.63,117.5,79239.10103205
2018-05-25,123.76,124.44,117.28,141848.20522917
2018-05-24,120.1,125.25,115.11,220572.82972201
2018-05-23,128.17,129.35,116.27,303105.00611816
2018-05-22,134.78,135.75,127.6,120392.53473515
2018-05-21,138.79,139.98,133.53,102106.68425975
2018-05-20,134.06,140.7,132.2,106375.68214967
